n hilos;milisegundos;speed Up;cantidad de numeros primos
1;7954;1;9592
2;5987;1,329;9592
3;4367;1,821;9592
4;3468;2,294;9592
5;2949;2,697;9592
6;2677;2,971;9592
7;2420;3,287;9592
8;2262;3,516;9592
9;2239;3,552;9592
10;2217;3,588;9592
11;2165;3,674;9592
12;2082;3,82;9592
13;2123;3,747;9592
14;2175;3,657;9592
15;2169;3,667;9592
16;2178;3,652;9592
17;2162;3,679;9592
18;2152;3,696;9592
19;2048;3,884;9592
20;2083;3,819;9592
21;2146;3,706;9592
22;2108;3,773;9592
23;2075;3,833;9592
24;2125;3,743;9592
25;2078;3,828;9592
26;2152;3,696;9592
27;2156;3,689;9592
28;2164;3,676;9592
29;2108;3,773;9592
30;2073;3,837;9592
